"Name","DeviceType","SystemVersion","GpuType","MemoryLimit","HalfResScreen","DisableShadow","HalfResTex","QuarterResTex","HalfResUi","CullValleyBg","OffsetLODs","ReduceAnimations","LowQualityParticleSimulation","ReduceWorkerUiAnims","DisableMovie","Probability"
"String","String","String","String","int","String","String","String","String","String","String","String","String","String","String","String","int"
"BadPixelFillrate",,,"Adreno (TM) 504",,"On",,,,,,,,,,,
"BadVertexProcessing","SM-G900F",,,,,,,,,"On",,,,,,
,"CPH1719",,,,,,,,,,,,,,,
,"Redmi Note 7 Pro",,,,,,,,,,,,,,,
,"5002X",,,,,,,,,,,,,,,
,"A3S",,,,,,,,,,,,,,,
,"A7 Pro",,,,,,,,,,,,,,,
,"AGS-L03",,,,,,,,,,,,,,,
,"BAH2-W19",,,,,,,,,,,,,,,
,"CPH1919",,,,,,,,,,,,,,,
,"G3223",,,,,,,,,,,,,,,
,"HMA-L29",,,,,,,,,,,,,,,
,"IN2020",,,,,,,,,,,,,,,
,"KOB-L09",,,,,,,,,,,,,,,
,"Lenovo TB-7304I",,,,,,,,,,,,,,,
,"LM-Q710.FGN",,,,,,,,,,,,,,,
,"M2002J9G",,,,,,,,,,,,,,,
,"Nokia 2.2",,,,,,,,,,,,,,,
,"Nokia 7.2",,,,,,,,,,,,,,,
,"P650 Pro",,,,,,,,,,,,,,,
,"RMX1921",,,,,,,,,,,,,,,
,"SM-A102W",,,,,,,,,,,,,,,
,"SM-A115F",,,,,,,,,,,,,,,
,"SM-J600G",,,,,,,,,,,,,,,
,"SM-M307FN",,,,,,,,,,,,,,,
,"ULTRAMINTT A5",,,,,,,,,,,,,,,
,"SM-G986U1",,,,,,,,,,,,,,,
,"SM-G930V",,,,,,,,,,,,,,,
,"Nokia 3.4",,,,,,,,,,,,,,,
,"X9079",,,,,,,,,,,,,,,
,"V2036",,,,,,,,,,,,,,,
,"SM-A115U",,,,,,,,,,,,,,,
,"Nokia 6.2",,,,,,,,,,,,,,,
,"OPPO A83",,,,,,,,,,,,,,,
,"PBAM00",,,,,,,,,,,,,,,
,"moto g(8) power",,,,,,,,,,,,,,,
,"OPPO A83t",,,,,,,,,,,,,,,
,"Infinix X605",,,,,,,,,,,,,,,
,"CPH1859",,,,,,,,,,,,,,,
,"Mi 9 Lite",,,,,,,,,,,,,,,
,"moto g(8) plus",,,,,,,,,,,,,,,
,"RMX2195",,,,,,,,,,,,,,,
,"moto g(7) plus",,,,,,,,,,,,,,,
,"POT-LX1AF",,,,,,,,,,,,,,,
,"G3123",,,,,,,,,,,,,,,
,"UMIDIGI X",,,,,,,,,,,,,,,
,"OPPO R9sk",,,,,,,,,,,,,,,
,"GIONEE S10L",,,,,,,,,,,,,,,
,"V2029",,,,,,,,,,,,,,,
,"JKM-LX3",,,,,,,,,,,,,,,
,"MI 5X",,,,,,,,,,,,,,,
,"Nokia 7 plus",,,,,,,,,,,,,,,
,"INE-LX1",,,,,,,,,,,,,,,
,"SM-A115W",,,,,,,,,,,,,,,
,"SM-A605F",,,,,,,,,,,,,,,
,"moto e6",,,,,,,,,,,,,,,
,"XT1635-01",,,,,,,,,,,,,,,
,"Moto G (5S) Plus",,,,,,,,,,,,,,,
,"ASUS_Z017DA",,,,,,,,,,,,,,,
,"SM-J810F",,,,,,,,,,,,,,,
,"DLI-L42",,,,,,,,,,,,,,,
,"HTC 2PS5200",,,,,,,,,,,,,,,
,"SM-G920V",,,,,,,,,,,,,,,
,"SM-T597W",,,,,,,,,,,,,,,
,"OPPO R9skt",,,,,,,,,,,,,,,
,"Lenovo YT-X705X",,,,,,,,,,,,,,,
,"S60",,,,,,,,,,,,,,,
,"G3416",,,,,,,,,,,,,,,
,"OPPO R9s",,,,,,,,,,,,,,,
,"SO-01H",,,,,,,,,,,,,,,
,"SM-G920S",,,,,,,,,,,,,,,
,"FRD-AL10",,,,,,,,,,,,,,,
,"SM-G920P",,,,,,,,,,,,,,,
,"HTC One M9",,,,,,,,,,,,,,,
,"SM-C7100",,,,,,,,,,,,,,,
,"SM-G928W8",,,,,,,,,,,,,,,
,"A5_Pro",,,,,,,,,,,,,,,
,"SM-G906K",,,,,,,,,,,,,,,
,"G3212",,,,,,,,,,,,,,,
,"T799B",,,,,,,,,,,,,,,
,"SM-T595",,,,,,,,,,,,,,,
,"Moto Z2 Play",,,,,,,,,,,,,,,
,"Lenovo YT-X705F",,,,,,,,,,,,,,,
,"Lenovo K8 Plus",,,,,,,,,,,,,,,
,"SM-G9287C",,,,,,,,,,,,,,,
,"Redmi 6 Pro",,,,,,,,,,,,,,,
,"SM-N920C",,,,,,,,,,,,,,,
,"ASUS_Z00AD",,,,,,,,,,,,,,,
,"PBBM30",,,,,,,,,,,,,,,
